Buy Date,Volume Change (%),Price Change (%),Buy Price,Sell Date,Sell Price,Return (%)
2024-02-06,107.27269258371466,2.2313045399315,185.1,2024-02-20,193.76,4.67855213398163
2024-02-15,109.5407650985051,6.221185946690677,200.45,2024-02-29,201.88,0.7133948615614901
2024-02-26,108.2796416811418,3.8703964161066917,199.4,2024-03-11,177.77,-10.847542627883648
2024-03-18,106.8516516922237,6.254203093476818,173.8,2024-04-01,175.22,0.8170310701956199
2024-03-26,117.7530138764469,2.9195388982216297,177.67,2024-04-09,176.88,-0.4446445657679924
2024-04-08,109.21579377924661,4.899939357186156,172.98,2024-04-22,142.05,-17.880679847381188
2024-04-09,106.45148566947454,2.25459590704129,176.88,2024-04-23,144.68,-18.204432383536854
2024-04-24,179.1981350688411,12.061100359413878,162.13,2024-05-08,174.72,7.765373465737374
2024-04-25,122.34601878495394,4.965151421698644,170.18,2024-05-09,171.97,1.0518274767892772
2024-04-29,215.62310332215415,15.30691068988057,194.05,2024-05-13,171.89,-11.419737181138894
2024-05-21,116.95555992820444,6.659045441554734,186.6,2024-06-04,174.77,-6.339764201500528
2024-06-12,129.2996469378476,3.88491737958514,177.29,2024-06-26,196.37,10.762028315189811
2024-06-13,165.5477064332748,2.9217665971007944,182.47,2024-06-27,197.42,8.193127637419844
2024-06-17,147.16372308578946,5.297455199146128,187.44,2024-07-01,209.86,11.961160904822886
2024-06-26,133.08508464993463,4.814518281291713,196.37,2024-07-10,263.26,34.0632479502979
2024-07-01,175.91089758803463,6.054174247018396,209.86,2024-07-15,252.64,20.385018583817768
2024-07-02,244.2198427796869,10.197274373391775,231.26,2024-07-16,256.56,10.940067456542426
2024-07-03,186.548999699212,6.542419787252451,246.39,2024-07-17,248.5,0.8563659239417241
2024-07-05,164.16556005161297,2.0820650188725365,251.52,2024-07-19,239.2,-4.898218829516548
2024-07-09,155.000494397456,3.712342848106265,262.33,2024-07-23,246.38,-6.080128082948953
2024-07-12,131.37256459933545,2.9871800190847564,248.23,2024-07-26,219.8,-11.4530878620634
2024-08-23,101.67051439273922,4.5855881515237895,220.32,2024-09-06,210.73,-4.352759622367467
2024-09-04,111.84247531092919,4.183285849952512,219.41,2024-09-18,227.2,3.5504307005150144
2024-09-05,161.00063968728614,4.904060890570161,230.17,2024-09-19,243.92,5.973845418603641
2024-09-10,101.56896198411474,4.577611319184349,226.17,2024-09-24,254.27,12.424282619268702
2024-09-19,134.71414323919953,7.3591549295774605,243.92,2024-10-03,240.66,-1.3365037717284318
2024-09-23,112.13546966498666,4.931794333683115,250.0,2024-10-07,240.83,-3.667999999999995
2024-10-04,110.38230988363564,3.914235851408643,250.08,2024-10-18,220.7,-11.748240563019841
2024-10-24,256.8241801861228,21.919026445120537,260.48,2024-11-07,296.91,13.985718673218676
2024-10-25,192.0419376745326,3.343826781326764,269.19,2024-11-08,321.22,19.32835543668042
2024-11-06,190.76486434863264,14.751034043907097,288.53,2024-11-20,342.03,18.542265968876723
2024-11-07,132.81556217568587,2.904377361106314,296.91,2024-11-21,339.64,14.391566467953238
2024-11-08,223.9712558831643,8.187666296184037,321.22,2024-11-22,352.56,9.756553141149361
2024-11-11,215.60098090622617,8.959591557188219,350.0,2024-11-25,338.59,-3.2600000000000073
2024-11-15,101.44720076019718,3.065749726846212,320.72,2024-11-29,345.16,7.620354203043152
2024-11-18,108.37450769643617,5.618608131703651,338.74,2024-12-02,357.09,5.417134085139034
2024-12-10,111.99474317148778,2.873342055978867,400.99,2024-12-24,462.28,15.28467044065936
2024-12-11,123.35518200224291,5.930322451931458,424.77,2024-12-25,,
2024-12-13,109.77707532415397,4.336283185840717,436.23,2024-12-27,,
2024-12-16,140.74740218081442,6.141255759576358,463.02,2024-12-30,,
2024-12-17,161.4267461214322,3.6369919225951453,479.86,2024-12-31,,
